_id,name,city,state,zipCode,phone,rating,noOfPatients,serviceType,specialty,inNetwork,distance
D24236-887,Dr. Linoel Govey,Roanoke,Virginia,24014,+1 540 856 9716,3.2,12,dental,Pediatric Dentist,FALSE,3.2
D41250-491,Dr. Amara Pennaman,Winston Salem,North Carolina,27105,+1 336 166 2834,1.8,22,dental,Endodontist,FALSE,3.7
D62362-184,Dr. Rivkah Ruos,Saint Louis,Missouri,63126,+1 636 338 9844,1.3,3,dental,Maxillofacial Surgeon,TRUE,1.6
D68788-9432,Dr. Marshal Jime,Saint Paul,Minnesota,55115,+1 763 709 7892,3.7,24,dental,Oral Surgeon,FALSE,3.3
D69238-1252,Dr. Inger Pattie,San Jose,California,95194,+1 408 860 6030,4.7,15,dental,Orthodontist,FALSE,3.2
D69186-001,Dr. Giraldo Sahlstrom,Topeka,Kansas,66617,+1 785 776 0001,4.4,24,dental,Pediatric Dentist,TRUE,2.4
D42507-090,Dr. Olwen Frays,New York City,New York,10079,+1 212 612 6092,3.2,41,dental,Periodontist,TRUE,3.6
D42291-601,Dr. Ase MacQueen,Knoxville,Tennessee,37924,+1 865 334 4728,1.6,16,dental,Prosthodontist,FALSE,3.1
D33992-8685,Dr. Rourke Beeching,Lexington,Kentucky,40596,+1 859 559 1315,4.8,33,dental,Endodontist,FALSE,3.4
D0179-0082,Dr. Constantin Rowlin,Dayton,Ohio,45419,+1 513 608 1569,2.9,44,dental,Maxillofacial Surgeon,TRUE,2.8
D59779-578,Dr. Cammi Hughlin,San Diego,California,92145,+1 619 797 9028,1.7,18,dental,Oral Surgeon,FALSE,2.3
D0363-0438,Dr. Amabel Benedicte,Orlando,Florida,32854,+1 407 722 1839,1.4,40,dental,Orthodontist,TRUE,3.1
D16590-154,Dr. Aloin Sansun,Miami,Florida,33175,+1 305 282 5811,1.4,7,dental,Endodontist,FALSE,1.1
D41167-0230,Dr. Carce Rhodef,Birmingham,Alabama,35225,+1 205 123 3587,1.2,15,dental,Maxillofacial Surgeon,FALSE,1.2
D44087-1080,Dr. Aileen Joel,Sterling,Virginia,20167,+1 571 418 8223,3.8,27,dental,Endodontist,TRUE,1.5
D44924-019,Dr. Bryon Sotham,Chicago,Illinois,60604,+1 312 820 0498,4.6,30,dental,Maxillofacial Surgeon,TRUE,4
D76420-742,Dr. Merrill Borrott,Albany,New York,12232,+1 518 773 6966,1.9,45,dental,Oral Surgeon,TRUE,3.7
D24286-1558,Dr. Ingar Murgatroyd,El Paso,Texas,79989,+1 915 265 3287,2.2,42,dental,Orthodontist,TRUE,1.2
D76472-1163,Dr. Angeline Harner,Arlington,Virginia,22217,+1 571 194 8590,1.1,42,dental,Pediatric Dentist,TRUE,2.6
D13537-522,Dr. Rodney Trees,Aurora,Illinois,60505,+1 331 864 0480,1.6,45,dental,Periodontist,FALSE,2.4
D58411-233,Dr. Oliviero Abry,Colorado Springs,Colorado,80951,+1 719 727 5420,4,7,dental,Prosthodontist,TRUE,1.1
D68084-534,Dr. Raynor Trethowan,Fresno,California,93740,+1 559 819 8268,4.8,40,dental,Endodontist,TRUE,2.9
D64578-0081,Dr. Cristine Fillingham,Saint Cloud,Minnesota,56372,+1 320 471 2907,2.3,32,dental,Maxillofacial Surgeon,FALSE,2.6
D31722-406,Dr. Jeramey Branston,Johnson City,Tennessee,37605,+1 423 689 8296,2.4,1,dental,Oral Surgeon,TRUE,2.4
D36987-2542,Dr. Jeramey Blaszkiewicz,San Rafael,California,94913,+1 415 772 1247,1.9,42,dental,Orthodontist,TRUE,2.2
D42254-002,Dr. Hildy Saterthwait,Wilmington,Delaware,19892,+1 302 977 4258,3.3,4,dental,Pediatric Dentist,FALSE,3.7
D63629-4815,Dr. Roseanne Hulles,Atlanta,Georgia,30343,+1 404 966 9547,2.1,31,dental,Periodontist,FALSE,3.3
D55319-243,Dr. Arliene Hebblethwaite,Oklahoma City,Oklahoma,73152,+1 405 163 6359,1.9,43,dental,Prosthodontist,FALSE,2.1
D66213-543,Dr. Susann Meriet,Fairfield,Connecticut,6825,+1 203 921 3410,3,16,dental,Dentist,TRUE,1.6
D49348-093,Dr. Clary Boykett,Salt Lake City,Utah,84145,+1 801 481 0009,4.2,27,dental,Endodontist,FALSE,2.1
D59667-0015,Dr. Christos Eaden,Longview,Texas,75605,+1 903 867 8129,1.3,14,dental,Maxillofacial Surgeon,FALSE,1.9
D20276-430,Dr. Philipa Jervois,Muncie,Indiana,47306,+1 765 486 6656,3.8,41,dental,Oral Surgeon,TRUE,3.2
D50845-0203,Dr. Thacher Meadway,Saginaw,Michigan,48604,+1 989 764 0706,3,11,dental,Orthodontist,TRUE,2.5
D68308-505,Dr. Jerrylee Grundle,Greenville,South Carolina,29605,+1 864 861 5722,3.9,21,dental,Pediatric Dentist,FALSE,2.7
D0135-0534,Dr. Adelind Happer,Corpus Christi,Texas,78410,+1 361 476 9723,1.3,47,dental,Periodontist,FALSE,3.1
D0113-0964,Dr. Kathe O'Duilleain,Denton,Texas,76210,+1 972 759 7105,4.6,16,dental,Endodontist,FALSE,1.7
D0456-2613,Dr. Davine Hegerty,Spokane,Washington,99215,+1 509 540 1587,3.5,42,dental,Maxillofacial Surgeon,TRUE,3.3
D58118-0506,Dr. Gabrielle Toulch,Columbus,Ohio,43204,+1 614 930 9053,2.6,48,dental,Oral Surgeon,FALSE,1.4
D0378-2625,Dr. Alvira Shortcliffe,Seattle,Washington,98166,+1 206 953 5133,3.4,27,dental,Orthodontist,TRUE,2.6
D55319-153,Dr. Phillipp Sedgmond,Houston,Texas,77228,+1 713 728 9465,2.1,2,dental,Pediatric Dentist,TRUE,3.6
D55111-475,Dr. Padriac Muffett,Mobile,Alabama,36605,+1 251 780 7434,3.1,12,dental,Periodontist,TRUE,3.3
D43598-165,Dr. Clementia Bispham,El Paso,Texas,88579,+1 915 146 6621,3.2,2,dental,Prosthodontist,TRUE,1.6
D63629-1452,Dr. Conchita McElroy,Boston,Massachusetts,2104,+1 318 370 2589,4.1,49,dental,Dentist,TRUE,2.2
D10191-1253,Dr. Timothy Grzelewski,Riverside,California,92519,+1 951 241 0723,1.7,34,dental,Endodontist,FALSE,3.9
D58118-0107,Dr. Cordey Barmadier,San Antonio,Texas,78291,+1 210 592 4980,2.7,10,dental,Maxillofacial Surgeon,FALSE,3.3
D65517-1006,Dr. Beryl Jerred,Terre Haute,Indiana,47805,+1 812 854 7679,2.2,46,dental,Oral Surgeon,FALSE,2.6
D16590-939,Dr. Vladimir Linskey,New Haven,Connecticut,6505,+1 203 632 0255,1.8,14,dental,Orthodontist,FALSE,3
D63868-065,Dr. Steward Reddington,Chicago,Illinois,60641,+1 773 874 7001,1.5,7,dental,Pediatric Dentist,TRUE,2.1
D67046-124,Dr. Benedikt Kalberer,Miami Beach,Florida,33141,+1 305 652 7277,4.4,37,dental,Periodontist,FALSE,1.4
D69238-1251,Dr. Joyous Switsur,Houston,Texas,77271,+1 713 716 9420,1.6,35,dental,Prosthodontist,FALSE,3.5
D54868-0973,Dr. Darnell Whorall,Saint Louis,Missouri,63126,+1 636 488 7044,3.2,34,dental,Dentist,TRUE,1.6
D17478-070,Dr. Robin Cornelissen,Nashville,Tennessee,37240,+1 615 879 5868,3.4,39,dental,Endodontist,TRUE,1.9
D49999-290,Dr. Wilhelm Greedier,Fort Pierce,Florida,34981,+1 772 738 2904,5,44,dental,Maxillofacial Surgeon,TRUE,3
D36000-029,Dr. Carlyle Dempster,Anaheim,California,92805,+1 949 382 4670,1.1,20,dental,Oral Surgeon,TRUE,1.9
D0338-1115,Dr. Rand Woodthorpe,Winston Salem,North Carolina,27105,+1 704 344 6165,4.5,12,dental,Orthodontist,FALSE,2.8
D44946-1025,Dr. Alex Ravenhill,San Francisco,California,94126,+1 415 473 1028,3.2,50,dental,Pediatric Dentist,FALSE,3.6
D76363-029,Dr. Bev Saturley,Mesa,Arizona,85215,+1 480 753 6677,1.5,20,dental,Periodontist,FALSE,3.2
D0078-0372,Dr. Hyatt McMichell,San Francisco,California,94116,+1 415 416 8602,3.2,5,dental,Prosthodontist,FALSE,3.8
D61098-040,Dr. Lynne Gillicuddy,Orlando,Florida,32854,+1 407 884 8860,2,33,dental,Dentist,TRUE,1.4
D0781-5560,Dr. Zsa zsa Rubery,Orlando,Florida,32835,+1 321 122 4052,1.7,16,dental,Endodontist,FALSE,1.2
D63577-035,Dr. Kitti Palay,Sarasota,Florida,34238,+1 941 933 9786,2.9,42,dental,Maxillofacial Surgeon,TRUE,1.4
D0268-6634,Dr. Demetris Pohlak,San Francisco,California,94147,+1 415 695 2425,3.7,45,dental,Oral Surgeon,FALSE,1.8
D51079-891,Dr. Karlik Duding,Asheville,North Carolina,28815,+1 828 482 5131,2.1,21,dental,Orthodontist,FALSE,3.7
D0904-6158,Dr. Merry Arrighetti,Hartford,Connecticut,6160,+1 860 508 3631,1.6,49,dental,Pediatric Dentist,TRUE,3.7
D36987-1535,Dr. Margit Bollins,North Little Rock,Arkansas,72199,+1 501 137 1617,1.6,41,dental,Periodontist,TRUE,2.2
D43269-784,Dr. Allie Crackett,Jacksonville,Florida,32209,+1 904 402 6444,1.8,37,dental,Prosthodontist,FALSE,2.3
D55292-303,Dr. Katya Cudihy,Salt Lake City,Utah,84140,+1 801 231 7249,1.9,43,dental,Dentist,TRUE,2.6
D53808-0733,Dr. Beverlee Listone,Asheville,North Carolina,28805,+1 828 330 2228,2.8,4,dental,Endodontist,FALSE,3.7
D0049-4960,Dr. Rudolfo Ruegg,Wilmington,Delaware,19810,+1 302 125 9539,3.1,28,dental,Maxillofacial Surgeon,TRUE,1.2
D51079-192,Dr. Marjorie Springall,Topeka,Kansas,66699,+1 785 272 4013,3.2,23,dental,Oral Surgeon,FALSE,1.9
D55504-4341,Dr. Ruttger Halling,Norfolk,Virginia,23520,+1 757 708 0807,1.7,21,dental,Orthodontist,TRUE,1
D42023-105,Dr. Dud Prover,Pomona,California,91797,+1 909 885 8584,4.9,28,dental,Pediatric Dentist,TRUE,3.4
D0025-1821,Dr. Dinny Rodliff,Monroe,Louisiana,71208,+1 318 504 8087,1.2,10,dental,Periodontist,FALSE,2.8
D61245-145,Dr. Franni Baline,Baltimore,Maryland,21282,+1 410 688 8391,4.8,30,dental,Prosthodontist,TRUE,2.2
D50730-8332,Dr. Daria MacFie,North Las Vegas,Nevada,89036,+1 702 542 0675,1.7,4,dental,Dentist,TRUE,3.4
D54868-5432,Dr. Cleo Ramsden,Rockford,Illinois,61110,+1 815 780 7819,3.6,32,dental,Endodontist,TRUE,1.1
D68647-200,Dr. Blondelle Yandell,Oklahoma City,Oklahoma,73129,+1 405 950 6802,2.4,24,dental,Maxillofacial Surgeon,TRUE,3.2
D57955-4020,Dr. Konrad Lyver,Houston,Texas,77201,+1 832 712 0508,4.4,11,dental,Oral Surgeon,TRUE,2
D0904-7891,Dr. Morly Petric,Norfolk,Virginia,23551,+1 757 199 3556,3.6,19,dental,Orthodontist,TRUE,3.9
D14222-2240,Dr. Reuven Gannan,Bronx,New York,10474,+1 718 985 8136,4.6,13,dental,Pediatric Dentist,FALSE,2.3
D0378-0335,Dr. Cullin Huie,Bozeman,Montana,59771,+1 406 429 3382,1.1,48,dental,Periodontist,FALSE,2.5
D76519-1003,Dr. Franklin Minchi,Topeka,Kansas,66617,+1 785 199 9846,3.8,37,dental,Prosthodontist,FALSE,2
D51785-899,Dr. Alie Mitchell,Frankfort,Kentucky,40618,+1 502 756 3926,3.6,32,dental,Dentist,TRUE,2.7
D68151-1170,Dr. Ber Kippax,Denver,Colorado,80243,+1 303 960 6140,4.4,46,dental,Endodontist,FALSE,1.2
D64942-1333,Dr. Frayda McInility,Toledo,Ohio,43615,+1 419 885 6955,2.7,29,dental,Maxillofacial Surgeon,FALSE,3.4
D28107-008,Dr. Calli Eadington,Lincoln,Nebraska,68505,+1 402 595 9843,4,24,dental,Oral Surgeon,FALSE,3.9
D37000-761,Dr. Valene Porter,Port Charlotte,Florida,33954,+1 941 173 8465,4.8,44,dental,Orthodontist,TRUE,2.5
D35378-0004,Dr. Yolanthe Stockport,Birmingham,Alabama,35236,+1 205 973 7671,2,24,dental,Pediatric Dentist,FALSE,2.4
D57520-0283,Dr. Hieronymus Nucci,Albuquerque,New Mexico,87201,+1 505 933 9060,3.7,3,dental,Periodontist,TRUE,2.2
D64679-312,Dr. Anstice Don,Vancouver,Washington,98682,+1 360 571 2418,1.6,10,dental,Prosthodontist,TRUE,2.9
D54868-5434,Dr. Henderson Pinnick,Richmond,Virginia,23237,+1 804 386 6870,3.7,4,dental,Dentist,FALSE,2.9
D36987-3337,Dr. Wendie Gutowski,San Jose,California,95173,+1 408 342 4932,4,50,dental,Endodontist,TRUE,1.7
D21695-331,Dr. Brett Greaves,El Paso,Texas,88535,+1 915 907 1515,1.1,28,dental,Maxillofacial Surgeon,FALSE,1.7
D24385-603,Dr. Udell Bengefield,Cedar Rapids,Iowa,52405,+1 319 803 7505,4.1,32,dental,Oral Surgeon,FALSE,1.8
D0904-0314,Dr. Hendrik Lukock,Dayton,Ohio,45408,+1 937 629 1043,4.4,27,dental,Orthodontist,FALSE,2.1
D49967-018,Dr. Osmund Chapellow,Lancaster,Pennsylvania,17622,+1 717 561 4474,3.4,17,dental,Pediatric Dentist,FALSE,2.3
D64712-001,Dr. Neile Hundal,Baton Rouge,Louisiana,70820,+1 225 205 2274,1.5,10,dental,Periodontist,TRUE,2.1
D48951-1163,Dr. Paulina Dosedale,Garden Grove,California,92844,+1 714 634 0103,3,32,dental,Prosthodontist,FALSE,3.9
D49288-0478,Dr. Ramona Manley,New York City,New York,10105,+1 917 857 1849,1.3,28,dental,Dentist,TRUE,2
D51672-2002,Dr. Janis MacCoughen,New Castle,Pennsylvania,16107,+1 724 856 7320,2.5,8,dental,Endodontist,TRUE,2.4
D41268-532,Dr. Zaria Frany,Buffalo,New York,14210,+1 716 389 0565,1.3,22,dental,Maxillofacial Surgeon,FALSE,1.8
D63629-5042,Dr. Silvia Suddell,Chicago,Illinois,60681,+1 312 458 0239,2.8,46,dental,Oral Surgeon,FALSE,2.2
D65734-082,Dr. Haily Heppenspall,North Little Rock,Arkansas,72199,+1 501 807 0281,4.4,41,dental,Orthodontist,TRUE,1.3
D67877-171,Dr. Bekki Trighton,Paterson,New Jersey,7544,+1 862 161 6415,3,50,dental,Pediatric Dentist,FALSE,1.6
D36987-1428,Dr. Nike Brende,Phoenix,Arizona,85030,+1 602 802 7048,3.8,36,dental,Periodontist,TRUE,3.8
D43406-0078,Dr. Sibel Coviello,Philadelphia,Pennsylvania,19141,+1 215 906 1575,3.4,3,dental,Prosthodontist,TRUE,1.6
D67544-887,Dr. Stepha Aizlewood,New York City,New York,10079,+1 212 401 4225,3.4,34,dental,Dentist,FALSE,3.2
D50991-529,Dr. Randy Neubigin,Washington,District of Columbia,20046,+1 202 385 9920,4.4,50,dental,Endodontist,FALSE,3.4
D0603-2339,Dr. Trude Syder,Billings,Montana,59105,+1 406 930 5260,3.2,49,dental,Maxillofacial Surgeon,FALSE,3.9
D42858-102,Dr. Barry Hasker,Fort Smith,Arkansas,72916,+1 479 763 6046,1.4,30,dental,Oral Surgeon,TRUE,2
D55714-1105,Dr. Lancelot Reuben,Pensacola,Florida,32505,+1 850 109 3585,4.2,36,dental,Orthodontist,FALSE,1.4
D53113-104,Dr. Karlyn Blaschek,Brea,California,92822,+1 714 279 3693,3.4,38,dental,Pediatric Dentist,FALSE,2
D0603-3741,Dr. Marlin Capehorn,Miami,Florida,33129,+1 786 300 4916,2.4,32,dental,Periodontist,FALSE,2
D68828-081,Dr. Coraline Eshelby,Bakersfield,California,93311,+1 661 781 1936,4.8,15,dental,Prosthodontist,FALSE,2.3
D54569-4672,Dr. Brenna Fortun,Pittsburgh,Pennsylvania,15250,+1 412 175 8376,2.7,45,dental,Dentist,TRUE,2.5
D41520-578,Dr. Maris Kiledal,Portland,Oregon,97240,+1 971 516 0323,4.4,21,dental,Endodontist,TRUE,1.1
D0781-3209,Dr. Richie Hourihan,Washington,District of Columbia,20210,+1 202 850 6638,3.2,47,dental,Maxillofacial Surgeon,TRUE,3.7
D61957-1001,Dr. Camel Murdie,Montgomery,Alabama,36109,+1 334 405 7047,1.3,38,dental,Oral Surgeon,TRUE,1
D54868-5070,Dr. Flossy Fewell,Philadelphia,Pennsylvania,19120,+1 215 526 3942,4.5,26,dental,Orthodontist,FALSE,2.2
D0228-3640,Dr. Lidia Monkeman,El Paso,Texas,79911,+1 915 502 5504,3.7,50,dental,Pediatric Dentist,FALSE,1.9
D55910-413,Dr. Roslyn Camosso,Orlando,Florida,32825,+1 954 255 9789,1.9,2,dental,Periodontist,FALSE,2.9
D42023-136,Dr. Clemmie Maplethorpe,Nashville,Tennessee,37245,+1 615 682 6442,1,26,dental,Prosthodontist,FALSE,3.8
D55154-4740,Dr. Cyrille Roake,Garland,Texas,75044,+1 214 361 6601,3.3,2,dental,Dentist,TRUE,3.7
D65162-350,Dr. Ryun Dilliway,Homestead,Florida,33034,+1 305 663 4258,4.2,40,dental,Endodontist,TRUE,1.5
D0942-6486,Dr. Dalli Loweth,Las Vegas,Nevada,89135,+1 702 798 6610,1.1,16,dental,Maxillofacial Surgeon,FALSE,1.8
D68084-524,Dr. Vickie Boswood,Boulder,Colorado,80310,+1 303 144 0720,4.9,17,dental,Oral Surgeon,FALSE,1.9
D68084-230,Dr. Gabe Mattosoff,Tampa,Florida,33694,+1 813 182 7426,3.4,14,dental,Orthodontist,TRUE,3.6
D56062-161,Dr. Lemuel Akram,Amarillo,Texas,79105,+1 806 749 6275,1.7,38,dental,Pediatric Dentist,TRUE,2.8
D51660-527,Dr. Feodor Adam,Chicago,Illinois,60619,+1 312 990 9812,4.2,50,dental,Periodontist,FALSE,2.1
D48951-2050,Dr. Grantley Choat,Grand Rapids,Michigan,49518,+1 616 321 8119,3.4,13,dental,Prosthodontist,TRUE,1
D67692-072,Dr. Kelila Lockless,Bonita Springs,Florida,34135,+1 941 813 6460,1.5,31,dental,Dentist,FALSE,1.7
D51655-320,Dr. Ashlie FitzGibbon,Fort Lauderdale,Florida,33355,+1 754 724 9815,3.8,46,dental,Endodontist,FALSE,1.9
D0268-6728,Dr. Gianina Bereford,Saint Louis,Missouri,63126,+1 636 466 9841,2.9,12,dental,Maxillofacial Surgeon,TRUE,1.9
D63323-172,Dr. Chane Petrillo,Jackson,Mississippi,39216,+1 601 259 6663,3.8,10,dental,Oral Surgeon,FALSE,3.6
D42914-010,Dr. Kania Goracci,Newark,Delaware,19714,+1 302 317 1650,3.9,46,dental,Orthodontist,FALSE,2.1
D54868-4920,Dr. Linus Creed,Erie,Pennsylvania,16505,+1 814 214 2064,1,8,dental,Pediatric Dentist,TRUE,3.1
D68001-153,Dr. Cort Vasechkin,San Luis Obispo,California,93407,+1 805 823 2212,4.9,21,dental,Periodontist,FALSE,3.7
D57955-0070,Dr. Dorolice Gawen,Albuquerque,New Mexico,87110,+1 505 193 1394,3.8,14,dental,Prosthodontist,FALSE,1.5
D49349-755,Dr. Gloriana Chaucer,Toledo,Ohio,43656,+1 419 591 5630,2.1,1,dental,Dentist,TRUE,3.8
D63459-177,Dr. Lucais Braunton,Bakersfield,California,93311,+1 805 351 0152,3.6,10,dental,Endodontist,FALSE,2.7
D59779-037,Dr. Glenda Bevington,Chicago,Illinois,60681,+1 312 819 0900,3.4,17,dental,Maxillofacial Surgeon,FALSE,2.5
D63629-4899,Dr. Mari Testro,Austin,Texas,78737,+1 512 208 6276,3.6,18,dental,Oral Surgeon,TRUE,1.3
D41190-244,Dr. Fedora Shewan,Rockville,Maryland,20851,+1 301 260 4330,2.5,5,dental,Orthodontist,FALSE,2.2
D47124-299,Dr. Felipe Feldklein,Albany,New York,12222,+1 518 643 0121,3.6,16,dental,Pediatric Dentist,TRUE,1.5
D0615-1542,Dr. Kayne Murford,Port Charlotte,Florida,33954,+1 941 562 3488,3.5,20,dental,Periodontist,FALSE,1.8
D0781-1516,Dr. Worden Pester,Austin,Texas,78754,+1 512 628 3031,4.7,24,dental,Prosthodontist,TRUE,3.3
D59746-232,Dr. Sergeant Klimp,Topeka,Kansas,66606,+1 785 301 3091,3.2,27,dental,Dentist,TRUE,1.5
D53329-063,Dr. Rurik Moncey,Bethlehem,Pennsylvania,18018,+1 610 705 1750,4.4,26,dental,Endodontist,FALSE,3.8
D36987-2507,Dr. Heindrick Trudgian,Carol Stream,Illinois,60158,+1 309 293 6154,3.6,46,dental,Maxillofacial Surgeon,FALSE,3.2
D36987-2291,Dr. Herculie Eilles,Minneapolis,Minnesota,55441,+1 763 542 9061,3.8,36,dental,Oral Surgeon,TRUE,3.6
D76290-001,Dr. Darren Swafield,Little Rock,Arkansas,72204,+1 501 540 5040,1.2,3,dental,Orthodontist,FALSE,2.5
D12830-754,Dr. Bartolemo Nassy,Saint Paul,Minnesota,55188,+1 651 535 2820,4.9,27,dental,Pediatric Dentist,FALSE,1.2
D52773-243,Dr. Dionysus Woodlands,Hampton,Virginia,23663,+1 804 535 6127,3,20,dental,Periodontist,TRUE,1.9
D67691-100,Dr. Eduardo Lorriman,Charlotte,North Carolina,28256,+1 704 488 8870,1.6,34,dental,Prosthodontist,FALSE,3.4
D50730-8308,Dr. Alanah Agnew,Norcross,Georgia,30092,+1 770 635 9997,4.8,34,dental,Dentist,TRUE,3.6
D41163-328,Dr. Aaren McEwan,Sacramento,California,95828,+1 916 820 4605,1.5,2,dental,Endodontist,TRUE,2
D34666-060,Dr. Field Jermyn,Atlanta,Georgia,30301,+1 770 840 1866,1.6,5,dental,Maxillofacial Surgeon,FALSE,2
D33992-1410,Dr. Pavlov Severy,Austin,Texas,78726,+1 512 434 1180,4.5,28,dental,Oral Surgeon,FALSE,2.7
D59535-3501,Dr. Sibley Dunseath,Bronx,New York,10459,+1 917 238 0115,2.4,8,dental,Orthodontist,FALSE,2.5
D43275-180,Dr. Alejandro Glantz,Baton Rouge,Louisiana,70836,+1 225 660 3993,2.9,23,dental,Pediatric Dentist,FALSE,1.8
D63981-903,Dr. Ailis Sowten,Lynchburg,Virginia,24515,+1 434 624 7593,3.4,26,dental,Periodontist,FALSE,2.4
D10147-0922,Dr. Helena Arnault,Hamilton,Ohio,45020,+1 937 663 9252,4.2,32,dental,Prosthodontist,FALSE,3.9
D0781-3150,Dr. Hernando Kitley,Van Nuys,California,91406,+1 805 763 1461,1.9,21,dental,Dentist,TRUE,2.5
D53041-152,Dr. Whitby Tackley,Denver,Colorado,80228,+1 303 406 5825,2.3,27,dental,Endodontist,FALSE,4
D68472-117,Dr. Mandy Bessant,Saint Petersburg,Florida,33705,+1 727 586 6009,4.9,16,dental,Maxillofacial Surgeon,TRUE,1.9
D51079-510,Dr. Julianne Jeduch,Ogden,Utah,84409,+1 801 383 9104,5,34,dental,Oral Surgeon,TRUE,2
D60512-8016,Dr. Travers Cullip,Lake Worth,Florida,33467,+1 561 975 0302,1.6,41,dental,Orthodontist,TRUE,2.7
D43857-0039,Dr. Florrie Dadds,Arvada,Colorado,80005,+1 720 736 9630,2.1,41,dental,Pediatric Dentist,FALSE,1.5
D63824-010,Dr. Parry Shelmerdine,Sacramento,California,94297,+1 916 211 4039,4.6,42,dental,Periodontist,TRUE,3.8
D49738-054,Dr. Cathlene Tomsu,Waco,Texas,76711,+1 254 906 5965,1.9,17,dental,Prosthodontist,FALSE,2.7
